instruction,input,output
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Build a circuit with no inputs and one output. That output should always drive 1 (or logic high), and the module declare is module top_module( output one );","module top_module( output one );
assign one = 1'b1;
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Build a circuit with no inputs and one output that outputs a constant 0, and the module declare is module top_module ( output zero );","module top_module ( output zero );
assign zero = 1'b0;
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module with one input and one output that behaves like a wire.The ports on a module have a direction (usually input or output). An input port is driven by something from outside the module, while an output port drives something outside. When viewed from inside the module, an input port is a driver or source, while an output port is a sink., and the module declare is module top_module( input in, output out );","module top_module( input in, output out );
assign out = in;
// Note that wires are directional, so ""assign in = out"" is not equivalent.
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module with 3 inputs and 4 outputs that behaves like wires that makes these connections:
a -> w
b -> x
b -> y
c -> z, and the module declare is module top_module (
 input a,
 input b,
 input c,
 output w,
 output x,
 output y,
 output z  );","module top_module (
 input a,
 input b,
 input c,
 output w,
 output x,
 output y,
 output z  );
 
 assign w = a;
 assign x = b;
 assign y = b;
 assign z = c;

 // If we're certain about the width of each signal, using 
 // the concatenation operator is equivalent and shorter:
 // assign {w,x,y,z} = {a,b,b,c};
 
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module that implements a NOT gate.

This circuit is similar to wire, but with a slight difference. When making the connection from the wire in to the wire out we're going to implement an inverter (or ""NOT-gate"") instead of a plain wire., and the module declare is module top_module(
 input in,
 output out
);","module top_module(
 input in,
 output out
);
 
 assign out = ~in;
 
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module that implements an AND gate.

This circuit now has three wires (a, b, and out). Wires a and b already have values driven onto them by the input ports. But wire out currently is not driven by anything. Write an assign statement that drives out with the AND of signals a and b., and the module declare is module top_module( 
    input a, 
    input b, 
    output out );","module top_module( 
    input a, 
    input b, 
    output out );

    assign out = a & b;
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module that implements a NOR gate. A NOR gate is an OR gate with its output inverted. A NOR function needs two operators when written in Verilog.

An assign statement drives a wire (or ""net"", as it's more formally called) with a value. This value can be as complex a function as you want, as long as it's a combinational (i.e., memory-less, with no hidden state) function. An assign statement is a continuous assignment because the output is ""recomputed"" whenever any of its inputs change, forever, much like a simple logic gate., and the module declare is module top_module( 
    input a, 
    input b, 
    output out );","module top_module( 
    input a, 
    input b, 
    output out );

    assign out = ~(a | b);

endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"Create a module that implements an XNOR gate., and the module declare is module top_module( 
    input a, 
    input b, 
    output out );","module top_module( 
    input a, 
    input b, 
    output out );
    
    assign out = ~ a^b;

endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"mplement the following circuit. Create two intermediate wires (named anything you want) to connect the AND and OR gates together. Note that the wire that feeds the NOT gate is really wire out, so you do not necessarily need to declare a third wire here. Notice how wires are driven by exactly one source (output of a gate), but can feed multiple inputs., and the module declare is module top_module (
 input a,
 input b,
 input c,
 input d,
 output out,
 output out_n );","module top_module (
 input a,
 input b,
 input c,
 input d,
 output out,
 output out_n );
 
 wire w1, w2;  // Declare two wires (named w1 and w2)
 assign w1 = a&b; // First AND gate
 assign w2 = c&d; // Second AND gate
 assign out = w1|w2; // OR gate: Feeds both 'out' and the NOT gate

 assign out_n = ~out; // NOT gate
 
endmodule"
You are a professional hard RTL code engineer. Please complete the writing of verilog as required.,"The 7458 is a chip with four AND gates and two OR gates. This problem is slightly more complex than 7420.

Create a module with the same functionality as the 7458 chip. It has 10 inputs and 2 outputs. You may choose to use an assign statement to drive each of the output wires, or you may choose to declare (four) wires for use as intermediate signals, where each internal wire is driven by the output of one of the AND gates., and the module declare is module top_module ( 
    input p1a, p1b, p1c, p1d, p1e, p1f,
    output p1y,
    input p2a, p2b, p2c, p2d,
    output p2y );","module top_module ( 
    input p1a, p1b, p1c, p1d, p1e, p1f,
    output p1y,
    input p2a, p2b, p2c, p2d,
    output p2y );

    assign p1y = (p1a & p1b & p1c)|(p1d & p1e & p1f);
    assign p2y = (p2a & p2b)|(p2c & p2d);
    
endmodule"
